-2.2001619, 57.2036979;Aberdeen
-3.9296293, 5.2544696;Abidjan
38.7989319, 8.9800689;Addis Abeba
138.5363087, -34.9376719;Adélaïde
8.7946284, 41.9202168;Ajaccio
3.2067834, 36.6975267;Alger
77.0252894, 43.3499265;Almaty
4.7674241, 52.3076865;Amsterdam
47.4752711, -18.7993016;Antananarivo
71.4633028, 51.0280685;Astana
23.9484156, 37.9356467;Athènes
174.7850358, -37.0082476;Auckland
26.9107054, 46.5310502;Bacau
100.7501124, 13.6899991;Bangkok
2.0832941, 41.297445;Barcelone
2.1115111, 49.4544677;Beauvais
-5.8718304, 54.6176164;Belfast
20.291691, 44.820498;Belgrade
5.2220173, 60.29183;Bergen
0.5186379, 44.8240252;Bergerac
13.5216148, 52.3854411;Berlin
35.4912043, 33.8193756;Beyrouth
-1.533334, 43.4707503;Biarritz
26.910705, 46.53105;Bichkek
-2.911116, 43.302494;Bilbao
9.1525999, 55.7408067;Billund
-74.1444969, 4.7014128;Bogota
-0.7103052, 44.8305935;Bordeaux
-4.4178324, 48.4476378;Brest
153.1218303, -27.3942144;Brisbane
114.9330596, 4.9455663;Brunei
4.4855744, 50.900999;Bruxelles
26.0844123, 44.5707306;Bucarest
-58.5348284, -34.8150044;Buenos Aires
128.9464591, 35.17322;Busan
9.0559675, 39.2513457;Cagliari
-114.0076156, 51.1215031;Calgary
149.1933934, -35.3052327;Canberra
-86.873564, 21.0403409;Cancun
113.3079699, 23.3959079;Canton
-7.5870272, 33.3717523;Casablanca
15.0657746, 37.4673046;Catane
-52.3638975, 4.8222247;Cayenne
80.1708668, 12.994112;Chennai
28.935516, 46.935168;Chisinau
172.5368705, -43.4863981;Christchurch
28.481816, 44.350128;Constanta
12.6507628, 55.6180236;Copenhague
19.7881188, 50.0769776;Cracovie
-17.0673475, 14.6708543;Dakar
121.5383333, 38.9655556;Dalian
39.2069164, -6.8725389;Dar es salam
130.877545, -12.4112158;Darwin
0.159204, 49.363936;Deauville
10.775073, 33.8705912;Djerba
51.6137665, 25.2605946;Doha
1.277976, 51.1204417;Douvres
13.767207, 51.132153;Dresde
-6.2499098, 53.4264481;Dublin
18.2621926, 42.5602173;Dubrovnik
6.7667912, 51.2876146;Düsseldorf
-3.3614532, 55.950785;Edimbourg
-113.5898222, 53.3066108;Edmonton
-72.0536406, -50.283977;El Calafate
44.398857, 40.149178;Erevan
7.5254958, 47.5981804;EuroAirport
11.2012247, 43.8086534;Florence
8.5621518, 50.0379326;Francfort
-16.7758737, 32.6957983;Funchal
6.1091564, 46.2370097;Genève
22.3809737, -34.0043643;George
-5.3464064, 36.153862;Gibraltar
-4.4350529, 55.8690744;Glasgow
-61.527249, 16.2676129;Guadeloupe
12.292314, 57.668799;Göteborg
-63.5094457, 44.8859455;Halifax
9.9974128, 53.633622;Hambourg
-79.9288234, 43.1685644;Hamilton
9.6889919, 52.4618486;Hanovre
